Dumping 16384 32-bit words from offset 0x0 (physical 0x0):
0x0000: 0x00000100
0x0004: 0x05010004
0x0008: 0x090f8d84
0x000c: 0x00000077
0x0010: 0x00004000
0x0014: 0x0000a9b9
0x0018: 0x00001fff
0x001c: 0x00ff51b0
0x0020: 0x33323931
0x0024: 0x33313231
0x0028: 0x30303230
0x002c: 0x00003539
0x0030: 0x290da7d6
0x0034: 0x00000000
0x0038: 0x00000000
0x003c: 0x00000000
0x0040: 0x00000000
0x0044: 0x00000000
0x0048: 0x00000000
0x004c: 0x00000000
0x0050: 0x00000000
0x0054: 0x00000000
0x0058: 0x00000000
0x005c: 0x00000000
0x0060: 0x00000000
0x0064: 0x00000000
0x0068: 0x00000000
0x006c: 0x00000000
0x0070: 0x00000000
0x0074: 0x00000000
0x0078: 0x00000000
0x007c: 0x00000000
0x0080: 0x00000000
0x0084: 0x00000000
0x0088: 0x00000000
0x008c: 0x00000000
0x0090: 0x00000000
0x0094: 0x00000000
0x0098: 0x00000000
0x009c: 0x00000000
0x00a0: 0x00000000
0x00a4: 0x00000000
0x00a8: 0x00000000
0x00ac: 0x00000000
0x00b0: 0x00000000
0x00b4: 0x00000000
0x00b8: 0x00000000
0x00bc: 0x00000000
0x00c0: 0x00000000
0x00c4: 0x00000000
0x00c8: 0x00000000
0x00cc: 0x00000000
0x00d0: 0x00000000
0x00d4: 0x00000000
0x00d8: 0x00000000
0x00dc: 0x00000000
0x00e0: 0x00000000
0x00e4: 0x00000000
0x00e8: 0x00000000
0x00ec: 0x00000000
0x00f0: 0x00000000
0x00f4: 0x00000000
0x00f8: 0x00000000
0x00fc: 0x00000000
0x0100: 0x00000000
0x0104: 0x00000000
0x0108: 0x00000000
0x010c: 0x00000000
0x0110: 0x00000000
0x0114: 0x00000000
0x0118: 0x00000000
0x011c: 0x00000000
0x0120: 0x00000000
0x0124: 0x00000000
0x0128: 0x00000000
0x012c: 0x00000000
0x0130: 0x00000000
0x0134: 0x00000000
0x0138: 0x00000000
0x013c: 0x00000000
0x0140: 0x00000000
0x0144: 0x00000000
0x0148: 0x00000000
0x014c: 0x00000000
0x0150: 0x00000000
0x0154: 0x00000000
0x0158: 0x00000000
0x015c: 0x00000000
0x0160: 0x00000000
0x0164: 0x00000000
0x0168: 0x00000000
0x016c: 0x00000000
0x0170: 0x00000000
0x0174: 0x00000000
0x0178: 0x00000000
0x017c: 0x00000000
0x0180: 0x00000000
0x0184: 0x000e0000
0x0188: 0x00092800
0x018c: 0x000c5000
0x0190: 0x08008e50
0x0194: 0x00000080
0x0198: 0x00000080
